Store,days,lift_total,lift_mean,lift_pct_mean
335,42,154133.61948881682,3669.8480830670674,0.3664283134359803
380,36,96409.17977335391,2678.0327714820537,0.2271904772521701
1033,36,89805.85230736385,2494.6070085378847,0.21707401202138
211,36,88881.68804032913,2468.9357788980315,0.2123744029958424
320,36,78268.77862546782,2174.1327395963285,0.1787870639792433
595,36,70808.9885004451,1966.9163472345865,0.1562517628487338
560,36,69815.53613847538,1939.3204482909828,0.1576917293643054
586,36,68712.72488695881,1908.6868024155224,0.1453422833194533
423,42,67922.0624172393,1617.1919623152214,0.1635778948500654
546,36,67314.89396590115,1869.8581657194763,0.1449574141865054
756,36,58911.21664536908,1636.4226845935857,0.1156150572179967
769,42,57651.878315051166,1372.6637694059802,0.1208399407609015
383,36,57290.67467647323,1591.4076299020342,0.1095510893786643
513,36,52629.58530743645,1461.932925206568,0.1013459796289409
827,36,51413.11344805849,1428.1420402238468,0.105007165035289
733,42,49476.4468207013,1178.010638588126,0.0838413510989952
562,42,48958.65356863245,1165.6822278245822,0.0789022437748399
698,36,46501.549715746216,1291.7097143262838,0.0895220320596036
788,36,38628.823840174766,1073.022884449299,0.069945582630484
259,42,37074.099379083425,882.7166518829387,0.0880561040791704
251,36,25966.239691904844,721.2844358862457,0.0439057097569247
842,36,23403.118506880084,650.0866251911134,0.0383802223941704
262,42,22931.021710114383,545.9767073836758,0.0320318618829738
817,36,16975.283447117028,471.53565130880634,0.0308816622704089
1114,36,12840.518983532842,356.6810828759123,0.0204144007279304
